ID,Team/team_id,First Name,Last Name,Num,Age,DOB,player/birth_city,player/sp,player/country,HT,Wt,S,Draft,Round,Overall,Rk,player/pos_id,GP,G,A,A1,PTS,+/-,Sh,Misses,Blocked,Sh%,TOI,TOI/G,TOI/Sh,Shifts,Sh/G,Passes,Pa/60,FOW,FOL,FO%,HitsReceived,HitsRecieved/60,HitsGiven,HitsGiven/60,BlockedShots,Blocks/60,GiveAways,Giveaways/60,TakeAways,Takeaways/60,PIM,Minor,Major,Misconducts,Game Misconducts,Match,Grit,ShootOutShotsTaken,ShootoutGoals,SO%,1G,OTG,GWG,ENG,BHG,DeflG,SlapG,SnapG,TipG,WrapG,WristG,PenaltyShotGoals,PenaltyShotsTaken,PenaltyShot%,ShotDist,Crossbar,Post,OverNet,WideOfNet,Backhand,Deflected,Slap,Snap,Tipped,Wraparound,Wrist,1st Star,2nd Star,3rd Star,injury/Injury1,injury/Injury2,injury/Injury3,injury/Injury4,salary_Days,Salary,Cap Hit,Cap Cost,Bonuses
133,CGY,Joe,Colborne,8,26,1/30/90,Calgary,AB,CAN,77,221,L,2008,1,16,,C,73,19,25,15,44,-9,100,29,34,0.19,66425,15.2,42.3,1570,21.5,144,7.8,85,70,0.548,97,5.3,122,6.6,28,1.5,32,1.7,27,1.5,27,11,1,0,0,0,178,4,3,0.75,6,0,2,1,1,1,0,2,7,0,8,0,0,0,21.7,0,3,2,24,19,3,3,8,17,2,48,1,2,3,Undisclosed,Thumb,,,186,1.275,1.275,1.275,0
138,ARI,Kevin,Connauton,44,25,2/23/90,Edmonton,AB,CAN,74,205,L,2009,3,83,,D,65,5,12,3,17,7,109,43,78,0.05,65278,16.7,44.7,1460,22.5,12,0.7,0,0,0,86,4.7,100,5.5,58,3.2,13,0.7,15,0.8,60,20,2,1,0,0,220,,, ,1,0,0,0,0,0,1,0,0,0,4,0,0,0,52.2,0,1,3,39,5,0,34,19,0,0,51,0,0,1,,,,,186,0.8,0.683,0.683,0
160,EDM,Brandon,Davidson,88,24,8/21/91,Lethbridge,AB,CAN,74,210,L,2010,6,162,Y,D,51,4,7,2,11,7,63,39,64,0.06,58741,19.2,44.9,1309,25.7,28,1.7,0,0,0,124,7.6,74,4.5,92,5.6,45,2.8,19,1.2,20,10,0,0,0,0,186,,, ,0,0,0,0,0,0,4,0,0,0,0,0,0,0,53.7,1,1,5,32,1,0,31,10,0,0,21,0,1,0,Undisclosed,Ribs,,,186,0.585,0.585,0.585,0
174,MTL,Darren,Dietz,44,22,7/17/93,Medicine Hat,AB,CAN,73,201,R,2011,5,138,Y,D,13,1,4,2,5,-1,13,5,6,0.08,11339,14.5,47.2,240,18.5,21,6.7,0,0,0,28,8.9,38,12.1,14,4.4,12,3.8,3,1,13,4,1,0,0,0,66,,, ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49.5,0,0,0,5,0,0,5,0,0,0,8,0,1,0,,,,,29,0.69,0.69,0.14,0.21
176,ARI,Shane,Doan,19,39,10/10/76,Halkirk,AB,CAN,73,223,R,1995,1,7,,RW,72,28,19,12,47,4,170,65,55,0.17,76011,17.6,47.8,1590,22.1,113,5.4,74,69,0.517,78,3.7,116,5.5,15,0.7,27,1.3,33,1.6,98,24,2,3,1,0,231,,, ,8,0,4,1,4,1,4,0,2,1,16,0,0,0,28.4,0,3,4,58,15,2,19,14,23,3,95,6,4,5,Concussion,Lower body,,,186,4.55,5.252,5.3,0
192,OTT,Dave,Dziurzynski,59,26,10/6/89,Lloydminster,AB,CAN,75,224,L,,,,Y,LW,14,1,3,1,4,-4,14,5,2,0.07,8465,10.1,40.7,208,14.9,11,4.7,3,4,0.429,20,8.5,55,23.4,7,3,2,0.9,2,0.9,9,2,1,0,0,0,72,,, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31.9,0,0,2,3,1,1,1,2,1,0,8,0,0,0,Undisclosed,,,,54,0.75,0.75,0.218,0
194,DAL,Patrick,Eaves,18,31,5/1/84,Calgary,AB,CAN,72,200,R,2003,1,29,,RW,54,11,6,4,17,-5,86,37,37,0.13,42038,13,41.1,1023,18.9,40,3.4,3,8,0.273,39,3.3,70,6,20,1.7,11,0.9,16,1.4,27,11,1,0,0,0,118,1,1,1,2,0,2,0,1,0,1,0,0,0,9,0,0,0,28.7,0,1,7,29,9,1,6,6,6,0,58,2,1,0,Undisclosed,Illness,Lower body,,186,1.15,1.15,1.15,0
211,CGY,Deryk,Engelland,29,33,4/3/82,Edmonton,AB,CAN,74,214,R,2000,6,194,,D,69,3,9,2,12,7,71,29,49,0.04,63058,15.2,42.6,1479,21.4,24,1.4,0,0,0,87,5,105,6,107,6.1,22,1.3,8,0.5,54,12,2,2,0,0,268,,, ,0,0,0,0,0,0,0,1,0,0,2,0,0,0,49.5,0,2,6,21,1,0,16,9,1,0,44,0,2,0,Undisclosed,Lower body,,,186,3,2.917,2.917,0
212,BUF,Tyler,Ennis,63,26,10/6/89,Edmonton,AB,CAN,69,160,L,2008,1,26,,C,23,3,8,3,11,-9,57,23,22,0.05,24934,18.1,51.7,482,21,54,7.8,2,0,1,24,3.5,30,4.3,8,1.2,16,2.3,11,1.6,11,3,1,0,0,0,50,3,1,0.33,2,0,0,0,1,0,2,0,0,0,0,0,0,0,36.1,1,1,3,18,6,1,14,7,1,0,28,0,1,2,Upper body,Lower body,,,186,4.75,4.6,4.6,0
226,VAN,Taylor,Fedun,58,27,6/4/88,Edmonton,AB,CAN,72,200,R,,,,,D,1,0,1,1,1,1,0,0,0,0.00,1128,18.8,49,23,23,6,19.1,0,0,0,0,0,3,9.6,3,9.6,0,0,0,0,0,0,0,0,0,0,6,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,4,0.6,0.6,0.013,0
228,EDM,Andrew,Ference,21,36,3/17/79,Edmonton,AB,CAN,71,182,L,1997,8,208,,D,6,0,0,0,0,-4,4,2,5,0.00,4701,13.1,42.4,111,18.5,0,0,0,0,0,7,5.4,10,7.7,5,3.8,2,1.5,0,0,6,3,0,0,0,0,21,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.8,0,0,0,2,0,0,1,0,0,0,3,0,0,0,Hip,Undisclosed,Flu,,186,3.75,3.25,3.25,0
232,DAL,Vernon,Fiddler,38,35,5/9/80,Edmonton,AB,CAN,71,205,L,,,,,C,82,12,10,4,22,5,98,55,34,0.12,57270,11.6,38,1507,18.4,45,2.8,455,442,0.507,90,5.7,42,2.6,39,2.5,15,0.9,24,1.5,31,13,1,0,0,0,113,1,0,0,1,0,0,3,4,0,1,0,1,1,5,0,0,0,32,0,1,2,52,19,2,5,12,2,4,54,1,1,1,,,,,186,1.5,1.25,1.25,0
240,MIN,Justin,Fontaine,14,28,11/6/87,Bonnyville,AB,CAN,70,174,R,,,,,RW,60,5,11,7,16,3,54,25,17,0.09,42680,11.9,41.7,1023,17.1,66,5.6,1,3,0.25,38,3.2,9,0.8,24,2,12,1,17,1.4,20,10,0,0,0,0,53,,, ,0,0,1,0,0,0,0,1,1,0,3,0,0,0,32.8,0,3,2,20,4,3,7,4,5,0,31,0,0,1,Knee,Upper body,,,186,1.05,1,1,0
255,MTL,Brendan,Gallagher,11,23,5/6/92,Edmonton,AB,CAN,69,184,R,2010,5,147,,RW,53,19,21,12,40,13,173,42,60,0.11,52712,16.6,42.5,1241,23.4,90,6.1,12,17,0.414,109,7.4,43,2.9,25,1.7,14,1,30,2,24,11,0,0,0,0,92,,, ,5,0,0,1,1,2,1,2,4,0,9,0,1,1,24.2,0,3,5,34,20,5,6,16,26,0,100,1,3,1,Lower body,Finger,,,186,5.5,3.75,3.75,0
256,ANA,Ryan,Garbutt,16,30,8/12/85,Edmonton,AB,CAN,72,195,L,,,,,C,80,7,7,7,14,-11,135,61,46,0.05,52009,10.8,39.3,1325,16.6,130,9,1,7,0.125,131,9.1,165,11.4,28,1.9,18,1.2,12,0.8,48,19,2,0,0,0,243,,, ,0,0,3,0,1,0,1,2,0,0,3,0,0,0,32.8,0,2,7,52,16,1,20,9,7,1,81,0,0,0,Illness,,,,372,1.8,1.8,1.8,0
297,DET,Mike,Green,25,30,10/12/85,Calgary,AB,CAN,73,207,R,2004,1,29,,D,74,7,28,12,35,-6,124,51,80,0.06,87772,19.8,47.9,1831,24.7,94,3.9,0,2,0,146,6,106,4.3,71,2.9,40,1.6,18,0.7,38,19,0,0,0,0,215,,, ,0,0,0,0,0,0,4,0,0,0,3,0,0,0,46.3,0,2,8,41,3,0,45,20,0,0,56,1,0,2,Groin,Upper body,,,186,6,6,6,0
316,EDM,Taylor,Hall,4,24,11/14/91,Calgary,AB,CAN,73,201,L,2010,1,1,,LW,82,26,39,29,65,-4,286,82,106,0.09,94485,19.2,48.2,1961,23.9,320,12.2,14,25,0.359,184,7,82,3.1,50,1.9,73,2.8,64,2.4,54,27,0,0,0,0,186,,, ,4,1,6,2,5,1,0,2,4,0,14,0,0,0,27.6,1,2,7,72,23,6,7,66,19,2,163,2,12,3,,,,,186,6,6,6,0
342,NYI,Thomas,Hickey,14,26,2/8/89,Calgary,AB,CAN,72,189,L,2007,1,4,,D,62,6,12,7,18,9,55,45,51,0.11,64745,17.4,46.8,1383,22.3,74,4.1,0,0,0,104,5.8,65,3.6,90,5,41,2.3,18,1,30,15,0,0,0,0,185,,, ,0,1,2,0,2,0,3,0,0,0,1,0,0,0,47.8,0,1,2,42,3,1,18,6,4,1,22,1,1,1,Lower body,Upper body,,,186,1.25,2.2,2.2,0
348,COL,Nick,Holden,2,28,5/15/87,St. Albert,AB,CAN,76,210,L,,,,,D,82,6,16,8,22,-1,98,37,65,0.06,107652,21.9,46.6,2312,28.2,91,3,0,0,0,120,4,217,7.3,118,3.9,26,0.9,21,0.7,24,12,0,0,0,0,359,,, ,1,0,0,0,1,1,1,0,0,0,3,0,0,0,50.4,0,0,0,37,7,3,33,9,0,1,45,0,1,0,,,,,186,1.5,1.65,1.65,0
365,COL,Jarome,Iginla,12,38,7/1/77,Edmonton,AB,CAN,73,210,R,1995,1,11,,RW,82,22,25,16,47,-22,182,59,101,0.12,78039,15.9,49.2,1587,19.4,179,8.3,61,54,0.53,66,3,70,3.2,45,2.1,22,1,22,1,41,13,3,0,0,0,159,,, ,6,0,3,1,2,0,4,1,1,0,14,0,0,0,33.1,1,0,3,55,7,2,48,22,7,1,95,3,1,3,,,,,186,5.5,5.333,5.333,0
420,EDM,Rob,Klinkhammer,12,29,8/12/86,Lethbridge,AB,CAN,75,214,L,,,,,LW,14,1,0,0,1,-6,10,6,10,0.10,7906,9.4,41.6,190,13.6,0,0,1,0,1,6,2.7,47,21.4,4,1.8,3,1.4,3,1.4,6,3,0,0,0,0,57,,, ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,23.8,0,0,1,5,0,0,1,2,1,0,6,0,0,0,Ankle,Lower body,,,114,0.725,0.725,0.444,0
437,CGY,Brett,Kulak,61,22,1/6/94,Edmonton,AB,CAN,74,187,L,2012,4,105,Y,D,8,0,0,0,0,-2,9,3,6,0.00,5926,12.3,40.6,146,18.3,0,0,0,0,0,8,4.9,2,1.2,3,1.8,4,2.4,3,1.8,0,0,0,0,0,0,5,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.6,0,0,0,3,0,0,3,0,0,0,6,0,0,0,,,,,18,0.655,0.657,0.079,0.145
465,EDM,Mark,Letestu,55,31,2/4/85,Elk Point,AB,CAN,70,197,R,,,,,C,82,10,15,7,25,-21,107,45,46,0.09,77649,15.8,41.7,1864,22.7,88,4.1,596,566,0.513,35,1.6,68,3.2,33,1.5,29,1.3,28,1.3,10,5,0,0,0,0,111,1,0,0,3,0,0,1,1,1,0,0,1,0,7,0,0,0,34.4,1,2,3,39,8,1,11,27,7,4,49,0,0,3,,,,,186,1.8,1.8,1.8,0
475,WPG,Bryan,Little,18,28,11/12/87,Edmonton,AB,CAN,72,191,R,2006,1,12,,C,57,17,25,14,42,-13,127,45,44,0.13,67020,19.6,44.7,1500,26.3,123,6.6,674,640,0.513,43,2.3,48,2.6,22,1.2,26,1.4,20,1.1,12,6,0,0,0,0,82,2,0,0,4,0,2,1,0,1,2,4,2,0,8,1,1,1,25,0,2,7,36,15,5,18,21,5,0,63,1,3,5,Back,,,,186,4.75,4.7,4.7,0
480,TOR,Joffrey,Lupul,19,32,9/23/83,Fort Saskatchewan,AB,CAN,73,211,R,2002,1,7,,LW,46,11,3,2,14,-10,102,47,29,0.11,40354,14.6,41.2,980,21.3,20,1.8,0,4,0,65,5.8,58,5.2,14,1.2,7,0.6,12,1.1,12,6,0,0,0,0,84,7,1,0.14,0,0,2,0,0,0,0,3,1,0,7,0,0,0,28.6,0,2,7,38,4,2,5,26,14,0,51,2,2,0,Hernia,Lower body,,,186,6.75,5.25,5.25,0
482,OTT,Clarke,MacArthur,16,30,4/6/85,Lloydminster,AB,CAN,72,195,L,2003,3,74,,LW,4,0,0,0,0,-1,4,1,3,0.00,2606,10.9,43.4,60,15,0,0,0,1,0,4,5.5,3,4.1,1,1.4,0,0,0,0,0,0,0,0,0,0,4,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,1,1,0,0,1,1,0,1,0,0,0,Concussion,,,,186,4.5,4.65,4.65,0
550,WPG,Joshua,Morrissey,36,20,3/28/95,Calgary,AB,CAN,72,195,L,2013,1,13,Y,D,1,0,0,0,0,0,1,0,0,0.00,954,15.9,41.5,23,23,0,0,0,0,0,2,7.5,1,3.8,2,7.5,1,3.8,0,0,0,0,0,0,0,0,3,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,2,0.925,0.894,0.015,0.5
551,BOS,Joe,Morrow,45,23,12/9/92,Edmonton,AB,CAN,72,199,L,2011,1,23,Y,D,33,1,6,3,7,-7,44,9,28,0.02,31498,15.9,45.1,699,21.2,24,2.7,0,0,0,45,5.1,28,3.2,35,4,8,0.9,9,1,4,2,0,0,0,0,67,,, ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,48.5,0,0,1,8,2,0,11,9,1,0,21,0,0,1,Illness,,,,186,0.833,0.863,0.863,0
552,PIT,Kael,Mouillierat,22,28,12/9/87,Edmonton,AB,CAN,72,188,L,,,,,LW,1,0,0,0,0,0,1,0,0,0.00,641,10.7,37.7,17,17,0,0,5,6,0.455,1,5.6,4,22.5,0,0,0,0,1,5.6,2,1,0,0,0,0,6,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,1,0.575,0.575,0.003,0
564,CAR,Riley,Nash,20,26,5/9/89,Consort,AB,CAN,73,200,R,2007,1,21,,C,64,9,13,6,22,-5,76,21,32,0.12,49752,13,43.3,1150,18,59,4.3,193,197,0.495,97,7,58,4.2,21,1.5,13,0.9,47,3.4,18,9,0,0,0,0,97,5,3,0.6,2,0,1,0,1,0,0,2,1,1,4,0,0,0,26.7,0,0,0,21,7,2,4,21,7,3,32,1,1,0,Undisclosed,Illness,Shoulder,,186,1.15,1.15,1.15,0
585,TOR,William,Nylander,39,19,5/1/96,Calgary,AB,CAN,71,190,R,2014,1,8,Y,C,22,6,7,5,13,1,43,28,28,0.14,21566,16.3,45.7,472,21.5,72,12,143,148,0.491,19,3.2,5,0.8,5,0.8,10,1.7,16,2.7,4,2,0,0,0,0,14,2,0,0,1,0,1,0,0,0,1,2,0,0,3,0,0,0,35.7,1,1,4,22,5,0,3,10,2,0,23,2,2,1,,,,,41,0.925,0.894,0.384,0.85
615,STL,Colton,Parayko,55,22,5/12/93,St. Albert,AB,CAN,78,226,R,2012,3,86,Y,D,79,9,24,14,33,28,165,74,111,0.06,91894,19.4,44.1,2083,26.4,141,5.5,0,0,0,151,5.9,102,4,122,4.8,21,0.8,33,1.3,29,12,1,0,0,0,254,,, ,1,0,3,0,1,0,2,1,0,0,5,0,0,0,47.6,0,1,10,63,9,0,59,8,1,1,87,3,4,0,Illness,Lower body,,,186,0.792,0.859,0.925,0.133
633,FLA,Alex,Petrovic,6,23,3/3/92,Edmonton,AB,CAN,76,206,R,2010,2,36,,D,66,2,15,9,17,17,53,25,37,0.04,67144,17,48,1400,21.2,84,4.5,0,0,0,118,6.3,157,8.4,76,4.1,24,1.3,9,0.5,90,20,8,0,1,0,331,,, ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,53.8,0,0,2,23,1,0,31,6,0,0,15,0,0,0,Foot,,,,186,0.9,1.05,1.05,0
635,OTT,Dion,Phaneuf,2,30,4/10/85,Edmonton,AB,CAN,75,227,L,2003,1,9,,D,71,4,28,16,32,-7,144,83,131,0.03,95197,22.3,44.6,2133,30,194,7.3,0,0,0,92,3.5,168,6.4,89,3.4,35,1.3,19,0.7,90,35,4,0,0,0,351,,, ,1,0,0,0,0,0,3,1,0,0,0,0,0,0,51,0,2,9,72,3,1,70,24,1,1,44,0,1,4,Foot,,,,186,8,7,7,0
646,WPG,Paul,Postma,4,26,2/22/89,Red Deer,AB,CAN,75,195,R,2007,7,205,,D,26,2,0,0,2,-3,24,13,21,0.08,17866,11.5,44.2,404,15.5,0,0,0,0,0,32,6.4,13,2.6,14,2.8,8,1.6,4,0.8,4,2,0,0,0,0,31,,, ,1,0,0,0,0,0,1,0,0,0,1,0,0,0,52.1,0,0,1,12,1,0,9,1,0,0,13,0,0,0,,,,,172,0.85,0.887,0.821,0
658,BUF,Mark,Pysyk,3,24,1/11/92,Sherwood Park,AB,CAN,73,200,R,2010,1,23,,D,55,1,10,6,11,-1,44,27,31,0.02,52480,15.9,41.1,1277,23.2,66,4.5,0,0,0,53,3.6,37,2.5,49,3.4,21,1.4,9,0.6,32,16,0,0,0,0,118,,, ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50.3,0,1,1,25,0,1,13,9,0,0,21,0,0,0,Lower body,,,,186,1,1.125,1.125,0
668,STL,Ty,Rattie,18,23,2/5/93,Calgary,AB,CAN,72,178,R,2011,2,32,Y,RW,13,4,2,2,6,1,16,6,2,0.25,7244,9.3,39.2,185,14.2,9,4.5,0,0,0,12,6,6,3,2,1,2,1,2,1,4,2,0,0,0,0,12,,, ,2,0,0,0,0,1,1,0,1,0,1,0,0,0,21.9,0,1,0,5,1,1,2,0,2,0,10,0,1,0,,,,,37,,0.772,0.178,0
670,CGY,Mason,Raymond,21,30,9/17/85,Cochrane,AB,CAN,73,179,L,2005,2,51,,LW,29,4,1,0,5,-3,53,15,19,0.08,21474,12.3,40.8,526,18.1,0,0,3,4,0.429,14,2.3,12,2,7,1.2,11,1.8,8,1.3,8,4,0,0,0,0,27,,, ,1,0,0,0,0,0,0,1,2,0,1,0,0,0,32.5,1,2,1,11,1,1,4,5,4,0,38,0,0,0,,,,,186,3.15,3.15,2.807,0
674,FLA,Brent,Regner,37,26,5/17/89,Westlock,AB,CAN,71,189,R,2008,5,137,,D,7,0,0,0,0,-2,7,1,2,0.00,4865,11.6,43.4,112,16,0,0,0,0,0,7,5.2,4,3,7,5.2,1,0.7,0,0,4,2,0,0,0,0,15,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7,0,0,0,1,0,0,1,5,0,0,1,0,0,0,,,,,14,0.6,0.6,0.045,0
695,DAL,Kris,Russell,2,28,5/2/87,Caroline,AB,CAN,70,170,L,2005,3,67,,D,62,4,15,7,19,-5,70,56,63,0.06,85842,23.1,44.6,1923,31,61,2.6,0,1,0,85,3.6,40,1.7,210,8.8,47,2,23,1,10,5,0,0,0,0,260,,, ,0,1,1,0,0,0,0,1,0,0,3,0,0,0,41.4,0,1,3,52,2,0,17,13,0,0,38,1,0,2,Lower body,Upper body,,,227,2.6,2.6,3.173,0
709,DAL,Colton,Sceviour,22,26,4/20/89,Red Deer,AB,CAN,72,195,R,2007,4,112,,C,71,11,12,8,23,6,125,38,58,0.09,54007,12.7,39.9,1354,19.1,73,4.9,9,15,0.375,69,4.6,71,4.7,52,3.5,27,1.8,30,2,21,8,1,0,0,0,145,1,0,0,1,0,1,0,2,0,0,1,2,0,6,0,0,0,28,1,1,3,33,12,4,2,15,7,3,82,2,3,1,Upper body,,,,186,0.7,0.65,0.65,0
714,NJD,David,Schlemko,8,28,5/7/87,Edmonton,AB,CAN,72,190,L,,,,,D,67,6,13,10,19,-22,104,34,44,0.06,74969,18.6,45.7,1642,24.5,76,3.6,0,0,0,116,5.6,47,2.3,88,4.2,29,1.4,16,0.8,16,8,0,0,0,0,151,1,0,0,1,0,3,0,0,0,1,3,0,0,2,0,0,0,49.1,1,1,0,32,5,0,26,34,1,0,38,2,1,1,Upper body,Lower body,,,186,0.625,0.625,0.625,0
718,LAK,Jeff,Schultz,55,29,2/25/86,Calgary,AB,CAN,78,217,L,2004,1,27,,D,1,0,0,0,0,-1,1,0,0,0.00,1095,18.3,42.1,26,26,0,0,0,0,0,0,0,0,0,2,6.6,0,0,0,0,0,0,0,0,0,0,2,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,6,0.85,0.85,0.027,0
722,MTL,John,Scott,22,33,9/26/82,Edmonton,AB,CAN,80,260,L,,,,,LW,12,0,1,1,1,-1,6,0,0,0.00,4700,6.5,37.3,126,10.5,27,20.7,0,0,0,4,3.1,23,17.6,3,2.3,3,2.3,1,0.8,27,6,1,1,0,0,54,,, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.5,0,0,0,0,1,0,2,1,0,1,1,0,0,0,,,,,101,0.575,0.575,0.312,0
742,CGY,Hunter,Shinkaruk,49,21,10/13/94,Calgary,AB,CAN,70,181,L,2013,1,24,Y,C,8,2,1,0,3,-4,12,7,4,0.17,7183,15,46,156,19.5,0,0,0,1,0,19,9.5,9,4.5,3,1.5,2,1,1,0.5,2,1,0,0,0,0,14,,, ,0,0,0,0,0,0,1,0,0,0,1,0,0,0,22.3,0,0,1,6,2,0,1,2,1,1,5,0,0,0,,,,,17,0.925,0.902,0.098,0.426
